Gene	Transcript_ID	Protein_ID	Length
H4C8	ENST00000377727.2	ENSP00000366956.1	103
HCAR2	ENST00000328880.6	ENSP00000375066.2	363
HCAR3	ENST00000528880.3	ENSP00000436714.2	387
HCK	ENST00000375862.7	ENSP00000365022.3	525
HCK	ENST00000629881.2	ENSP00000486627.1	505
HCK	ENST00000375852.5	ENSP00000365012.3	526
HCK	ENST00000520553.5	ENSP00000429848.1	505
HCK	ENST00000518730.5	ENSP00000427757.1	504
HDAC4	ENST00000345617.7	ENSP00000264606.3	1084
HDAC4	ENST00000543185.6	ENSP00000440481.3	1089
HDAC4	ENST00000430200.1	ENSP00000410551.1	175
HDAC4	ENST00000445704.1	ENSP00000391226.1	148
HDAC4	ENST00000454542.5	ENSP00000405226.1	162
HDAC4	ENST00000446876.1	ENSP00000392912.1	123
HDAC7	ENST00000354334.7	ENSP00000351326.3	954
HDAC7	ENST00000080059.12	ENSP00000080059.7	991
HDAC7	ENST00000548080.5	ENSP00000446538.1	384
HDAC7	ENST00000552960.5	ENSP00000448532.1	974
HDAC7	ENST00000380610.8	ENSP00000369984.4	1014
HDAC7	ENST00000427332.6	ENSP00000404394.2	952
HDAC7	ENST00000430670.5	ENSP00000396159.1	274
HDAC7	ENST00000422254.5	ENSP00000410068.1	141
HDAC7	ENST00000440293.5	ENSP00000411058.1	159
HDAC7	ENST00000447463.5	ENSP00000389501.2	153
HDAC7	ENST00000434070.5	ENSP00000388561.1	153
HDAC7	ENST00000421231.5	ENSP00000412155.1	138
HDAC7	ENST00000450805.5	ENSP00000397236.1	112
HDAC7	ENST00000417902.5	ENSP00000400811.1	133
HDAC7	ENST00000433685.5	ENSP00000403149.1	88
HDAC7	ENST00000417107.5	ENSP00000387792.1	78
HDAC7	ENST00000445237.2	ENSP00000390415.2	51
HECW2	ENST00000260983.8	ENSP00000260983.2	1572
HECW2	ENST00000644978.2	ENSP00000495418.1	1572
HECW2	ENST00000644030.1	ENSP00000495504.1	1579
HECW2	ENST00000644421.1	ENSP00000495351.1	814
HECW2	ENST00000644256.1	ENSP00000494649.1	1572
HECW2	ENST00000427457.2	ENSP00000395770.2	120
HES2	ENST00000377837.5	ENSP00000367068.1	76
HES2	ENST00000377836.8	ENSP00000367067.4	76
HES2	ENST00000377834.8	ENSP00000367065.4	173
HES2	ENST00000487437.5	ENSP00000465248.1	77
HES2	ENST00000489730.1	ENSP00000465270.1	82
HEY1	ENST00000674295.1	ENSP00000501320.1	266
HEY1	ENST00000674418.1	ENSP00000501342.1	266
HEY1	ENST00000354724.8	ENSP00000346761.3	304
HEY1	ENST00000337919.9	ENSP00000338272.5	308
HEY1	ENST00000674358.1	ENSP00000501370.1	270
HEY1	ENST00000518733.1	ENSP00000429705.1	186
HHEX	ENST00000282728.10	ENSP00000282728.5	270
HHEX	ENST00000472590.6	ENSP00000450017.1	98
HHEX	ENST00000492654.3	ENSP00000447953.1	98
HIP1	ENST00000336926.11	ENSP00000336747.6	1037
HIP1	ENST00000434438.6	ENSP00000410300.2	986
HIP1	ENST00000616821.4	ENSP00000484528.1	1008
HIP1	ENST00000420909.1	ENSP00000414280.1	146
HLX	ENST00000366903.8	ENSP00000355870.5	488
HLX	ENST00000427693.1	ENSP00000408248.1	151
HOXA3	ENST00000396352.8	ENSP00000379640.3	443
HOXA3	ENST00000612286.5	ENSP00000484411.1	443
HOXA3	ENST00000317201.7	ENSP00000324884.2	443
HOXA3	ENST00000522788.5	ENSP00000429426.1	84
HOXA3	ENST00000522456.1	ENSP00000430566.1	54
HPSE	ENST00000311412.10	ENSP00000308107.5	543
HPSE	ENST00000405413.6	ENSP00000384262.2	543
HPSE	ENST00000681769.1	ENSP00000506434.1	498
HPSE	ENST00000512196.5	ENSP00000423265.1	469
HPSE	ENST00000513463.1	ENSP00000421365.1	485
HRH2	ENST00000377291.2	ENSP00000366506.2	397
HRH2	ENST00000636584.2	ENSP00000489742.1	422
HSD17B11	ENST00000358290.9	ENSP00000351035.4	300
HSD17B11	ENST00000507286.1	ENSP00000423775.1	256
HSPA6	ENST00000309758.6	ENSP00000310219.4	643
HYAL1	ENST00000266031.8	ENSP00000266031.4	435
HYAL1	ENST00000618175.4	ENSP00000477903.1	435
HYAL1	ENST00000395144.7	ENSP00000378576.2	435
HYAL1	ENST00000320295.12	ENSP00000346068.5	435
HYAL1	ENST00000395143.6	ENSP00000378575.2	405
HYAL1	ENST00000457214.6	ENSP00000393358.2	253
HYAL1	ENST00000447605.2	ENSP00000390149.2	176
HYAL1	ENST00000418723.1	ENSP00000394526.1	103
HYAL1	ENST00000452672.1	ENSP00000391666.1	69
HYCC2	ENST00000418596.7	ENSP00000393667.2	530
HYCC2	ENST00000681958.1	ENSP00000507218.1	586
HYCC2	ENST00000452799.5	ENSP00000401905.1	208
HYCC2	ENST00000453765.5	ENSP00000408374.1	87
HYCC2	ENST00000446678.5	ENSP00000412139.1	84
ICAM3	ENST00000706691.1	ENSP00000516505.1	211
ICAM3	ENST00000160262.10	ENSP00000160262.3	547
ID1	ENST00000376105.4	ENSP00000365273.3	149
ID1	ENST00000376112.4	ENSP00000365280.3	155
IFIT1	ENST00000546318.2	ENSP00000441968.1	447
IFIT1	ENST00000371804.4	ENSP00000360869.3	478
IFIT2	ENST00000638108.1	ENSP00000490935.1	472
IFIT2	ENST00000680381.1	ENSP00000506516.1	448
IFIT2	ENST00000679734.1	ENSP00000506258.1	448
IFIT2	ENST00000680954.1	ENSP00000505033.1	472
IFIT2	ENST00000680809.1	ENSP00000506255.1	472
IFIT2	ENST00000371826.4	ENSP00000360891.3	472
IFIT2	ENST00000679755.1	ENSP00000506663.1	448
IFIT2	ENST00000679619.1	ENSP00000505260.1	145
IFIT2	ENST00000611722.2	ENSP00000484770.2	200
IFIT3	ENST00000679781.1	ENSP00000505987.1	490
IFIT3	ENST00000681376.1	ENSP00000504860.1	438
IFIT3	ENST00000679438.1	ENSP00000506015.1	78
IFIT3	ENST00000681277.1	ENSP00000505695.1	438
IFIT3	ENST00000679923.1	ENSP00000505231.1	1
IFIT3	ENST00000680085.1	ENSP00000505490.1	1
IFIT3	ENST00000371818.9	ENSP00000360883.4	490
IFIT3	ENST00000680779.1	ENSP00000504949.1	517
IFIT3	ENST00000679536.1	ENSP00000506550.1	438
IFIT3	ENST00000371811.4	ENSP00000360876.4	490
IFIT3	ENST00000680037.1	ENSP00000506557.1	438
IFIT3	ENST00000679583.1	ENSP00000506309.1	438
IFIT3	ENST00000679897.1	ENSP00000505943.1	56
IFIT3	ENST00000681178.1	ENSP00000505300.1	438
IFIT3	ENST00000681207.1	ENSP00000506643.1	438
IFITM1	ENST00000680299.1	ENSP00000505531.1	62
IFITM1	ENST00000679353.1	ENSP00000505362.1	62
IFITM1	ENST00000679982.1	ENSP00000506610.1	62
IFITM1	ENST00000681350.1	ENSP00000505391.1	62
IFITM1	ENST00000680855.1	ENSP00000505629.1	62
IFITM1	ENST00000680588.1	ENSP00000505380.1	125
IFITM1	ENST00000680310.1	ENSP00000505746.1	62
IFITM1	ENST00000681702.1	ENSP00000505082.1	62
IFITM1	ENST00000681111.1	ENSP00000506447.1	62
IFITM1	ENST00000680342.1	ENSP00000506272.1	62
IFITM1	ENST00000680870.1	ENSP00000506324.1	62
IFITM1	ENST00000680802.1	ENSP00000505689.1	62
IFITM1	ENST00000528780.5	ENSP00000437057.1	125
IFITM1	ENST00000681761.1	ENSP00000505586.1	62
IFITM1	ENST00000681821.1	ENSP00000505026.1	62
IFITM1	ENST00000328221.5	ENSP00000330825.5	125
IFITM1	ENST00000680699.1	ENSP00000505755.1	82
IFITM1	ENST00000681938.1	ENSP00000505048.1	155
IFITM1	ENST00000679380.1	ENSP00000506054.1	153
IFITM1	ENST00000680938.1	ENSP00000506197.1	71
IFITM1	ENST00000408968.4	ENSP00000386187.3	125
IFITM1	ENST00000681180.1	ENSP00000505076.1	137
IFITM1	ENST00000681426.1	ENSP00000505924.1	106
IFITM1	ENST00000680696.1	ENSP00000506353.1	76
IFITM2	ENST00000681810.1	ENSP00000505185.1	62
IFITM2	ENST00000681914.1	ENSP00000505868.1	62
IFITM2	ENST00000680081.1	ENSP00000505487.1	62
IFITM2	ENST00000679962.1	ENSP00000505869.1	62
IFITM2	ENST00000681900.1	ENSP00000506549.1	62
IFITM2	ENST00000681276.1	ENSP00000506694.1	62
IFITM2	ENST00000533141.1	ENSP00000434443.1	112
IFITM2	ENST00000616316.3	ENSP00000484689.1	132
IFITM2	ENST00000399817.9	ENSP00000382714.5	166
IFITM2	ENST00000680344.1	ENSP00000506171.1	91
IFITM2	ENST00000680619.1	ENSP00000504960.1	96
IFITM2	ENST00000681833.1	ENSP00000505420.1	144
IFITM2	ENST00000680261.1	ENSP00000506427.1	178
IFITM2	ENST00000602569.2	ENSP00000473587.2	144
IFITM2	ENST00000681211.1	ENSP00000505719.1	50
IFITM3	ENST00000681198.1	ENSP00000506488.1	92
IFITM3	ENST00000399808.5	ENSP00000382707.4	133
IFITM3	ENST00000680209.1	ENSP00000505330.1	97
IFITM3	ENST00000681304.1	ENSP00000506507.1	42
IFITM3	ENST00000681840.1	ENSP00000505867.1	38
IFITM3	ENST00000526811.4	ENSP00000432108.1	112
IFITM3	ENST00000602735.2	ENSP00000473544.1	112
IFITM3	ENST00000680023.1	ENSP00000506536.1	62
IFITM3	ENST00000679433.1	ENSP00000506209.1	62
IFITM3	ENST00000679441.1	ENSP00000506018.1	62
IFITM3	ENST00000679792.1	ENSP00000505901.1	62
IFITM3	ENST00000681184.1	ENSP00000505002.1	62
IFITM3	ENST00000680720.1	ENSP00000505213.1	62
IFITM3	ENST00000680622.1	ENSP00000505128.1	62
IFITM3	ENST00000681748.1	ENSP00000505936.1	62
IFNGR2	ENST00000290219.11	ENSP00000290219.5	337
IFNGR2	ENST00000381995.5	ENSP00000371425.1	356
IFNGR2	ENST00000405436.5	ENSP00000385044.1	258
IFNGR2	ENST00000696724.1	ENSP00000512835.1	334
IFNGR2	ENST00000421802.1	ENSP00000402629.1	60
IFRD1	ENST00000675578.1	ENSP00000502336.1	451
IFRD1	ENST00000432734.1	ENSP00000391379.1	30
IFRD1	ENST00000005558.8	ENSP00000005558.4	451
IFRD1	ENST00000621379.4	ENSP00000483255.1	401
IFRD1	ENST00000443101.6	ENSP00000397592.2	40
IFRD1	ENST00000445335.1	ENSP00000402453.1	62
IFRD1	ENST00000417662.1	ENSP00000413893.1	17
IFRD1	ENST00000429071.5	ENSP00000397314.1	148
IFRD1	ENST00000403825.8	ENSP00000384477.3	451
IFRD1	ENST00000476927.5	ENSP00000437250.1	103
IFRD1	ENST00000440625.5	ENSP00000402177.1	127
IFRD1	ENST00000535603.5	ENSP00000439188.1	401
IFRD1	ENST00000462155.2	ENSP00000435635.1	98
IGF1R	ENST00000650285.1	ENSP00000497069.1	1367
IGF1R	ENST00000649865.1	ENSP00000496919.1	1366
IGF1R	ENST00000558355.1	ENSP00000453630.1	190
IGF1R	ENST00000558898.1	ENSP00000454115.1	212
IGF2R	ENST00000356956.6	ENSP00000349437.1	2491
IGF2R	ENST00000475834.2	ENSP00000473880.1	185
IGF2R	ENST00000678224.1	ENSP00000504616.1	197
IKBIP	ENST00000393042.3	ENSP00000376762.3	70
IKBIP	ENST00000342502.6	ENSP00000343471.2	350
IKBIP	ENST00000299157.5	ENSP00000299157.4	377
IL13RA1	ENST00000652600.1	ENSP00000498980.1	425
IL13RA1	ENST00000371642.1	ENSP00000360705.1	279
IL13RA1	ENST00000371666.8	ENSP00000360730.3	427
IL17RA	ENST00000319363.11	ENSP00000320936.6	866
IL17RA	ENST00000612619.2	ENSP00000479970.1	832
IL1B	ENST00000263341.7	ENSP00000263341.2	269
IL1B	ENST00000418817.5	ENSP00000407219.1	143
IL1B	ENST00000432018.5	ENSP00000409680.1	125
IL1B	ENST00000416750.1	ENSP00000400854.1	111
IL1R1	ENST00000452403.5	ENSP00000401646.1	80
IL1R1	ENST00000409929.5	ENSP00000386776.1	538
IL1R1	ENST00000424272.5	ENSP00000415366.1	447
IL1R1	ENST00000409589.5	ENSP00000386555.1	173
IL1R1	ENST00000409329.5	ENSP00000387131.1	447
IL1R1	ENST00000450319.5	ENSP00000411627.1	106
IL1R1	ENST00000428279.5	ENSP00000410461.1	298
IL1R1	ENST00000442590.5	ENSP00000393296.1	114
IL1R1	ENST00000410023.6	ENSP00000386380.1	569
IL1R1	ENST00000409288.5	ENSP00000386478.1	447
IL1R1	ENST00000430171.1	ENSP00000408101.1	182
IL1R2	ENST00000332549.8	ENSP00000330959.3	398
IL1R2	ENST00000393414.6	ENSP00000377066.2	398
IL1R2	ENST00000457817.5	ENSP00000408415.1	229
IL1R2	ENST00000441002.1	ENSP00000414611.1	296
IL6R	ENST00000622330.5	ENSP00000477739.1	352
IL6R	ENST00000344086.8	ENSP00000340589.4	365
IL6R	ENST00000368485.8	ENSP00000357470.3	468
IL6R	ENST00000512471.1	ENSP00000423184.1	170
IL6R	ENST00000476006.5	ENSP00000423668.1	294
IL6R	ENST00000515190.1	ENSP00000423036.1	190
IMPA2	ENST00000589238.5	ENSP00000465416.1	99
IMPA2	ENST00000625802.2	ENSP00000486461.1	85
IMPA2	ENST00000269159.8	ENSP00000269159.3	288
IMPA2	ENST00000588927.5	ENSP00000464767.1	99
IMPDH1	ENST00000419067.6	ENSP00000399400.2	566
IMPDH1	ENST00000338791.11	ENSP00000345096.6	599
IMPDH1	ENST00000348127.11	ENSP00000265385.8	563
IMPDH1	ENST00000496200.5	ENSP00000420803.1	489
IMPDH1	ENST00000354269.9	ENSP00000346219.5	589
IMPDH1	ENST00000470772.5	ENSP00000417296.1	513
IMPDH1	ENST00000648462.1	ENSP00000496892.1	509
IMPDH1	ENST00000480861.5	ENSP00000420185.1	509
IMPDH1	ENST00000497868.5	ENSP00000419609.1	289
IMPDH1	ENST00000489263.1	ENSP00000418592.1	184
INAFM1	ENST00000552360.4	ENSP00000447679.1	142
INKA2	ENST00000357260.6	ENSP00000349805.5	297
INKA2	ENST00000534365.1	ENSP00000436075.1	114
INKA2	ENST00000527621.1	ENSP00000437205.1	181
INTU	ENST00000504491.1	ENSP00000422550.1	201
INTU	ENST00000335251.11	ENSP00000334003.5	942
INTU	ENST00000506283.1	ENSP00000426171.1	96
IPMK	ENST00000373935.4	ENSP00000363046.3	416
IQANK1	ENST00000527139.7	ENSP00000489685.1	560
IQANK1	ENST00000533004.5	ENSP00000490151.1	91
IQCE	ENST00000623361.3	ENSP00000485601.1	630
IQCE	ENST00000402050.7	ENSP00000385597.2	695
IQCE	ENST00000415271.6	ENSP00000404643.1	246
IQCE	ENST00000438376.6	ENSP00000396178.2	679
IQCE	ENST00000476665.5	ENSP00000480715.1	702
IQCE	ENST00000611775.4	ENSP00000480668.1	686
IQCE	ENST00000325979.11	ENSP00000313772.7	630
IQCE	ENST00000423395.5	ENSP00000413570.1	128
IQCE	ENST00000422276.3	ENSP00000402108.3	128
IQCE	ENST00000427817.1	ENSP00000415261.1	193
IQCE	ENST00000423196.1	ENSP00000405982.1	269
IQSEC1	ENST00000613206.2	ENSP00000480301.1	1114
IQSEC1	ENST00000273221.8	ENSP00000273221.4	963
IQSEC1	ENST00000646269.1	ENSP00000496366.1	964
IQSEC1	ENST00000618604.4	ENSP00000478001.1	814
IQSEC1	ENST00000648114.1	ENSP00000497029.1	1222
IQSEC1	ENST00000648386.1	ENSP00000498148.1	810
IQSEC1	ENST00000647458.1	ENSP00000495163.1	779
IQSEC1	ENST00000707112.1	ENSP00000516741.1	39
IRAG1	ENST00000424001.5	ENSP00000401205.1	597
IRAG1	ENST00000547195.5	ENSP00000448278.2	597
IRAG1	ENST00000423302.7	ENSP00000412130.2	912
IRAG1	ENST00000558540.5	ENSP00000453013.1	597
IRAG1	ENST00000541483.5	ENSP00000437784.1	706
IRAG1	ENST00000531107.5	ENSP00000432436.1	904
IRAG1	ENST00000534266.6	ENSP00000433296.2	597
IRAG1	ENST00000529547.1	ENSP00000432325.1	69
IRAK3	ENST00000545837.1	ENSP00000441321.1	93
IRAK3	ENST00000261233.9	ENSP00000261233.4	596
IRAK3	ENST00000457197.2	ENSP00000409852.2	535
IRS2	ENST00000375856.5	ENSP00000365016.3	1338
ISL2	ENST00000290759.9	ENSP00000290759.4	359
ITGA5	ENST00000293379.9	ENSP00000293379.4	1049
ITGA5	ENST00000547197.1	ENSP00000450267.1	119
ITGAX	ENST00000562918.5	ENSP00000483860.1	181
ITGAX	ENST00000268296.9	ENSP00000268296.5	1163
ITGAX	ENST00000562522.2	ENSP00000454623.1	1169
ITGB3	ENST00000696963.1	ENSP00000513002.1	780
ITGB3	ENST00000559488.7	ENSP00000452786.2	788
ITGB3	ENST00000571680.1	ENSP00000461626.1	443
ITM2B	ENST00000649266.1	ENSP00000498127.1	210
ITM2B	ENST00000378549.5	ENSP00000367811.5	160
ITM2B	ENST00000647800.2	ENSP00000497221.1	266
ITM2B	ENST00000650237.1	ENSP00000497296.1	67
ITPK1	ENST00000354313.7	ENSP00000346272.3	314
ITPK1	ENST00000267615.11	ENSP00000267615.5	414
ITPK1	ENST00000556603.6	ENSP00000451091.1	414
ITPK1	ENST00000555495.5	ENSP00000451893.1	295
ITPK1	ENST00000554999.5	ENSP00000451154.1	181
ITPK1	ENST00000555553.5	ENSP00000452258.1	206
ITPK1	ENST00000553452.5	ENSP00000452230.1	168
ITPK1	ENST00000557309.1	ENSP00000450421.1	168
ITPRIP	ENST00000278071.6	ENSP00000278071.2	547
ITPRIP	ENST00000337478.3	ENSP00000337178.1	547
ITPRIP	ENST00000358187.2	ENSP00000350915.2	547
ITPRIP	ENST00000647721.1	ENSP00000497746.1	547
ITPRIP	ENST00000458723.1	ENSP00000414141.1	114
JMJD1C	ENST00000399262.7	ENSP00000382204.2	2540
JMJD1C	ENST00000542921.5	ENSP00000444682.1	2358
JMJD1C	ENST00000327520.7	ENSP00000335929.5	956
JPT1	ENST00000476258.5	ENSP00000464266.1	108
JPT1	ENST00000409753.8	ENSP00000387059.3	154
JPT1	ENST00000482348.5	ENSP00000462834.1	108
JPT1	ENST00000356033.8	ENSP00000348316.4	181
JPT1	ENST00000470924.5	ENSP00000462784.1	108
JPT1	ENST00000481647.5	ENSP00000462478.1	108
JPT1	ENST00000580380.1	ENSP00000462493.1	93
JPT1	ENST00000581874.1	ENSP00000462805.1	104
JUNB	ENST00000302754.6	ENSP00000303315.4	347
KATNBL1	ENST00000256544.8	ENSP00000256544.3	304
KATNBL1	ENST00000561270.5	ENSP00000453072.1	168
KATNBL1	ENST00000561371.5	ENSP00000453383.1	111
KATNBL1	ENST00000559760.5	ENSP00000453713.1	152
KATNBL1	ENST00000560310.5	ENSP00000454181.1	126
KATNBL1	ENST00000557877.5	ENSP00000452963.1	178
KATNBL1	ENST00000559462.1	ENSP00000454010.1	81
KATNBL1	ENST00000560108.5	ENSP00000453996.1	177
KATNBL1	ENST00000559515.1	ENSP00000453991.1	74
KATNBL1	ENST00000559464.1	ENSP00000453283.1	39
KATNIP	ENST00000261588.10	ENSP00000261588.4	1618
KATNIP	ENST00000568258.5	ENSP00000454884.1	249
KATNIP	ENST00000618117.1	ENSP00000483214.1	110
KAZN	ENST00000636564.1	ENSP00000489835.1	105
KAZN	ENST00000636203.1	ENSP00000490958.1	863
KAZN	ENST00000376030.7	ENSP00000365198.2	775
KAZN	ENST00000503743.5	ENSP00000426015.1	421
KAZN	ENST00000361144.9	ENSP00000354727.5	415
KAZN	ENST00000376028.8	ENSP00000365196.4	166
KAZN	ENST00000400798.6	ENSP00000383602.2	327
KAZN	ENST00000400797.3	ENSP00000383601.3	327
KCNE3	ENST00000310128.9	ENSP00000310557.4	103
KCNE3	ENST00000525550.1	ENSP00000433633.1	103
KCNE3	ENST00000532569.5	ENSP00000431739.1	99
KCNE3	ENST00000531854.5	ENSP00000433697.1	52
KCNE3	ENST00000529425.5	ENSP00000434890.1	49
KCNE3	ENST00000526855.1	ENSP00000435539.1	12
KCNJ15	ENST00000549158.5	ENSP00000449140.1	25
KCNJ15	ENST00000549805.5	ENSP00000448770.1	48
KCNJ15	ENST00000547341.5	ENSP00000447111.1	48
KCNJ15	ENST00000549932.5	ENSP00000448676.1	48
KCNJ15	ENST00000547595.5	ENSP00000450254.1	48
KCNJ15	ENST00000548700.5	ENSP00000448886.1	48
KCNJ15	ENST00000551422.5	ENSP00000449419.1	48
KCNJ15	ENST00000613499.4	ENSP00000479100.1	375
KCNJ15	ENST00000612702.4	ENSP00000484960.1	375
KCNJ15	ENST00000398925.5	ENSP00000381899.1	61
KCNJ15	ENST00000398928.5	ENSP00000381902.1	156
KCNJ15	ENST00000328656.8	ENSP00000331698.3	375
KCNJ15	ENST00000443341.5	ENSP00000413013.1	39
KCNJ15	ENST00000417042.5	ENSP00000392951.1	19
KCNJ15	ENST00000398938.7	ENSP00000381911.2	375
KCNJ15	ENST00000398932.5	ENSP00000381905.1	375
KCNJ15	ENST00000438657.5	ENSP00000414487.1	245
KCNJ15	ENST00000398934.5	ENSP00000381907.1	375
KCNJ15	ENST00000398930.5	ENSP00000381904.1	375
KCNJ15	ENST00000398927.1	ENSP00000381901.1	156
KCNJ15	ENST00000419868.1	ENSP00000400849.1	139
KCNJ2	ENST00000535240.1	ENSP00000441848.1	427
KCNJ2	ENST00000243457.4	ENSP00000243457.2	427
KDM6B	ENST00000448097.7	ENSP00000412513.2	1643
KDM6B	ENST00000254846.9	ENSP00000254846.5	1682
KDM6B	ENST00000570632.1	ENSP00000458445.1	361
KIAA0232	ENST00000508423.1	ENSP00000426815.1	75
KIAA0232	ENST00000307659.6	ENSP00000303928.5	1395
KIAA0232	ENST00000425103.5	ENSP00000413739.1	1395
KIAA0319	ENST00000616673.4	ENSP00000483665.1	483
KIAA0319	ENST00000430948.6	ENSP00000401086.2	1027
KIAA0319	ENST00000535378.5	ENSP00000442403.1	1063
KIAA0319	ENST00000537886.5	ENSP00000439700.1	1011
KIAA0319	ENST00000378214.8	ENSP00000367459.3	1072
KIAA0825	ENST00000682413.1	ENSP00000506760.1	1275
KIAA0825	ENST00000703867.1	ENSP00000515512.1	1280
KIAA0825	ENST00000513200.7	ENSP00000424618.2	1275
KIAA0825	ENST00000329378.7	ENSP00000331385.6	324
KIF13A	ENST00000378814.9	ENSP00000368091.5	1749
KIF13A	ENST00000502297.5	ENSP00000425616.1	801
KIF13A	ENST00000259711.11	ENSP00000259711.6	1805
KIF13A	ENST00000378843.6	ENSP00000368120.2	1757
KIF13A	ENST00000378826.6	ENSP00000368103.2	1770
KIF13A	ENST00000636847.1	ENSP00000490031.1	1845
KIF13A	ENST00000358380.10	ENSP00000351150.6	889
KIF13A	ENST00000506044.1	ENSP00000422808.1	270
KIF13A	ENST00000502704.2	ENSP00000425453.1	70
KIF27	ENST00000297814.7	ENSP00000297814.2	1401
KIF27	ENST00000334204.6	ENSP00000333928.2	1304
KIF27	ENST00000413982.5	ENSP00000401688.1	1335
KIF27	ENST00000376347.1	ENSP00000365525.1	286
KLHL2	ENST00000226725.11	ENSP00000226725.6	593
KLHL2	ENST00000511305.5	ENSP00000422113.1	144
KLHL2	ENST00000509704.5	ENSP00000421324.1	117
KLHL2	ENST00000514860.5	ENSP00000424198.1	597
KLHL2	ENST00000538127.5	ENSP00000437526.1	505
KLHL2	ENST00000421009.6	ENSP00000408974.2	496
KLHL2	ENST00000506761.1	ENSP00000424108.1	427
KLHL21	ENST00000377658.8	ENSP00000366886.4	597
KLHL21	ENST00000377663.3	ENSP00000366891.3	539
KLHL21	ENST00000467612.5	ENSP00000466089.1	230
KLHL21	ENST00000496707.5	ENSP00000468710.1	225
KLHL21	ENST00000463043.1	ENSP00000466479.1	133
KLLN	ENST00000445946.5	ENSP00000392204.2	178
KREMEN1	ENST00000400335.9	ENSP00000383189.4	458
KREMEN1	ENST00000327813.9	ENSP00000331242.5	492
KREMEN1	ENST00000407188.5	ENSP00000385431.1	473
LAMP2	ENST00000200639.9	ENSP00000200639.4	410
LAMP2	ENST00000434600.6	ENSP00000408411.2	411
LAMP2	ENST00000706600.1	ENSP00000516464.1	454
LAMP2	ENST00000371335.4	ENSP00000360386.4	410
LAMTOR4	ENST00000474141.5	ENSP00000477680.1	72
LAMTOR4	ENST00000460732.5	ENSP00000479176.1	82
LAMTOR4	ENST00000341942.10	ENSP00000343118.5	99
LAMTOR4	ENST00000441173.1	ENSP00000387926.1	137
LAMTOR4	ENST00000468582.5	ENSP00000478095.1	41
LAMTOR4	ENST00000488241.5	ENSP00000479500.1	24
LAMTOR4	ENST00000473459.5	ENSP00000479685.1	41
LAMTOR4	ENST00000466498.2	ENSP00000480432.1	20
LAMTOR4	ENST00000490633.1	ENSP00000481202.1	19
LCN2	ENST00000373017.5	ENSP00000362108.1	198
LCN2	ENST00000277480.7	ENSP00000277480.2	198
LCN2	ENST00000372998.1	ENSP00000362089.1	200
LETM2	ENST00000527334.5	ENSP00000432080.1	116
LETM2	ENST00000519476.6	ENSP00000429269.2	173
LETM2	ENST00000297720.9	ENSP00000297720.5	396
LETM2	ENST00000524874.5	ENSP00000431211.1	443
LETM2	ENST00000379957.9	ENSP00000369291.4	491
LETM2	ENST00000523983.6	ENSP00000428765.2	444
LETM2	ENST00000526356.1	ENSP00000432955.1	142
LETM2	ENST00000527710.5	ENSP00000434867.1	277
LETM2	ENST00000527175.1	ENSP00000432607.1	86
LGALS9C	ENST00000581545.5	ENSP00000464108.1	246
LGALS9C	ENST00000582333.5	ENSP00000464682.1	175
LGALS9C	ENST00000328114.11	ENSP00000329932.6	356
LGALS9C	ENST00000583322.5	ENSP00000462708.1	323
LGALS9C	ENST00000584941.5	ENSP00000462760.1	234
LGALSL	ENST00000464281.5	ENSP00000475643.1	125
LGALSL	ENST00000238875.10	ENSP00000238875.4	172
LGALSL	ENST00000409537.2	ENSP00000386242.2	100
LHFPL5	ENST00000651132.1	ENSP00000498322.1	219
LHFPL5	ENST00000360215.3	ENSP00000353346.1	219
LHFPL5	ENST00000651676.1	ENSP00000498699.1	219
LHFPL5	ENST00000652718.1	ENSP00000498866.1	163
LILRA2	ENST00000439534.5	ENSP00000388131.1	327
LILRA2	ENST00000251377.7	ENSP00000251377.3	483
LILRA2	ENST00000391738.8	ENSP00000375618.3	483
LILRA2	ENST00000251376.7	ENSP00000251376.3	466
LILRA2	ENST00000391737.3	ENSP00000375617.1	454
LILRA2	ENST00000472992.1	ENSP00000477566.1	85
LILRA5	ENST00000432233.8	ENSP00000404236.4	299
LILRA5	ENST00000486742.2	ENSP00000484372.1	287
LILRA6	ENST00000396365.7	ENSP00000379651.2	481
LILRA6	ENST00000245621.6	ENSP00000245621.4	464
LILRB3	ENST00000445347.2	ENSP00000388199.2	631
LILRB3	ENST00000391750.5	ENSP00000375630.1	631
LILRB3	ENST00000346401.10	ENSP00000345184.6	643
LILRB3	ENST00000245620.13	ENSP00000245620.9	632
LIMK2	ENST00000406516.5	ENSP00000384602.1	629
LIMK2	ENST00000331728.9	ENSP00000332687.4	638
LIMK2	ENST00000425203.1	ENSP00000388422.1	82
LIMK2	ENST00000333611.8	ENSP00000330470.4	617
LIMK2	ENST00000340552.4	ENSP00000339916.4	686
LIN7A	ENST00000552864.6	ENSP00000447488.1	233
LIN7A	ENST00000549417.5	ENSP00000448975.1	180
LIN7A	ENST00000552093.1	ENSP00000448891.1	130
LINC02218	ENST00000638486.3	ENSP00000492752.1	198
LINGO3	ENST00000698372.1	ENSP00000513689.1	592
LINGO3	ENST00000585527.1	ENSP00000467753.2	592
LITAF	ENST00000622633.5	ENSP00000483114.1	161
LITAF	ENST00000571688.5	ENSP00000459533.1	161
LITAF	ENST00000413364.6	ENSP00000397958.2	152
LITAF	ENST00000339430.9	ENSP00000340118.5	161
